Name,Email,User Name,Notes,Attachments,Attachment Summary,University,Degree,Learning Habits,Career Goals,Struggling Concepts,Meet-up Distance,Meet-up Mode,Preference Categories,University : Weight,University : Score,University : Percent,Degree : Weight,Degree : Score,Degree : Percent,Learning Habits : Weight,Learning Habits : Score,Learning Habits : Percent,Struggling Concepts : Weight,Struggling Concepts : Score,Struggling Concepts : Percent,Career Trajectories : Weight,Career Trajectories : Score,Career Trajectories : Percent,Meet-up Distance : Weight,Meet-up Distance : Score,Meet-up Distance : Percent,Meet-up Mode : Weight,Meet-up Mode : Score,Meet-up Mode : Percent,Learning Style,Compatibility Score,Score Total,Student Matches (Student A),Student Matches (Student B),Student Matches,Groups (Members),Groups (Best Matched Students (AI)),Groups,Student-Group Matches,Student-Group Matches 2
Amina Yusuf,amina.yusuf@email.com,amina.yusuf,Notes not provided,,,Massachusetts Institute of Technology (MIT),Biology,"Group study, flashcards",Research scientist,Genetics,8 miles,In Person,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode,Other",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,"Amina Yusuf ↔ Andres Gomez,Amina Yusuf ↔ Arjun Desai,Amina Yusuf ↔ Benjamin Cohen,Amina Yusuf ↔ Gabriel Souza,Amina Yusuf ↔ Jamal Carter,Amina Yusuf ↔ Jin Park,Amina Yusuf ↔ Juan Martinez,Amina Yusuf ↔ Marta Kowalczyk,Amina Yusuf ↔ Mohamed Abdallah,Amina Yusuf ↔ Mohammed Hassan,Amina Yusuf ↔ Nia Williams,Amina Yusuf ↔ Nour El-Din,Amina Yusuf ↔ Sienna Murphy",,,None,None,"Amina Yusuf ↔ Julia Nowak,Amina Yusuf ↔ Oscar Lindberg,Amina Yusuf ↔ Nia Williams,Amina Yusuf ↔ Marta Kowalczyk","Amina Yusuf ↔ Julia Nowak ↔ Mohammed Hassan,Amina Yusuf ↔ Jin Park ↔ Oscar Lindberg,Amina Yusuf ↔ Andres Gomez ↔ Oscar Lindberg",
Ananya Sharma,ananya.sharma@email.com,ananya.sharma,,,,California Institute of Technology (Caltech),Sociology,"Field interviews, group projects",Social researcher,Urban sociology,8 miles,Hybrid,"University,Degree,Learning Habits,Meet-up Mode",3,100,19,2,90,17,2,90,17,1,70,13,3,100,19,2,90,17,2,90,17,Reading/Writing,,540,,,,,,,,
Ananya Singh,ananya.singh@email.com,ananya.singh,,,,University of Illinois Urbana–Champaign,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,9 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Ananya Singh ↔ Ava Thompson,Ananya Singh ↔ David Kim,Ananya Singh ↔ Emily Clark,Ananya Singh ↔ Fatoumata Diallo,Ananya Singh ↔ Hannah Müller,Ananya Singh ↔ Isabella Rossi,Ananya Singh ↔ Ivan Petrov,Ananya Singh ↔ Kwame Boateng,Ananya Singh ↔ Leila Haddad,Ananya Singh ↔ Mariam Habib,Ananya Singh ↔ Maya Cohen,Ananya Singh ↔ Mina Hassan,Ananya Singh ↔ Mustafa Demir,Ananya Singh ↔ Oluwaseun Adeyemi,Ananya Singh ↔ Priya Patel,Ananya Singh ↔ Ravi Kumar,Ananya Singh ↔ Samuel Lee,Ananya Singh ↔ Sara Ahmed,Ananya Singh ↔ Sophie Dubois,Ananya Singh ↔ Thiago Pereira,Ananya Singh ↔ Yara Mansour",Aisha Abdi ↔ Ananya Singh,,,,"Ananya Singh ↔ Ravi Kumar,Ananya Singh ↔ Maya Sharma,Ananya Singh ↔ Emily Clark","Ananya Singh ↔ Aisha Bello ↔ Noah Weber,Ananya Singh ↔ Carlos Ramirez ↔ Chinonso Okafor,Ananya Singh ↔ Aisha Bello ↔ Sana Qureshi",
Andrei Ionescu,andrei.ionescu@email.com,andrei.ionescu,,,,University of Illinois Urbana–Champaign,Engineering,"Lab work, group projects",Civil engineer,Structural mechanics,13 miles,Online,"University,Struggling Concepts,Meet-up Distance,Meet-up Mode",3,100,19,1,70,13,2,90,17,2,90,17,3,100,19,1,70,13,1,70,13,Visual,,520,,,,,,,,
Andrei Popescu,andrei.popescu@email.com,andrei.popescu,,,,California Institute of Technology (Caltech),Engineering,"Lab work, group projects",Civil engineer,Structural mechanics,13 miles,Online,"University,Struggling Concepts,Meet-up Distance",3,100,19,1,70,13,2,90,17,2,90,17,3,100,19,1,70,13,1,70,13,Visual,,520,,,,,,,,
Andres Gomez,andres.gomez@email.com,andres.gomez,Notes not provided,,,California Institute of Technology (Caltech),Biology,"Group study, flashcards",Research scientist,Genetics,8 miles,In Person,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode,Other",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,"Andres Gomez ↔ Arjun Desai,Andres Gomez ↔ Benjamin Cohen,Andres Gomez ↔ Gabriel Souza,Andres Gomez ↔ Jin Park,Andres Gomez ↔ Juan Martinez,Andres Gomez ↔ Julia Nowak,Andres Gomez ↔ Marta Kowalczyk,Andres Gomez ↔ Mohamed Abdallah,Andres Gomez ↔ Mohammed Hassan,Andres Gomez ↔ Nia Williams,Andres Gomez ↔ Nour El-Din,Andres Gomez ↔ Oscar Lindberg,Andres Gomez ↔ Sienna Murphy,Andres Gomez ↔ Yusuf Ali",Amina Yusuf ↔ Andres Gomez,,None,None,"Andres Gomez ↔ Nia Williams,Andres Gomez ↔ Oscar Lindberg","Andres Gomez ↔ Amina Yusuf ↔ Julia Nowak,Andres Gomez ↔ Amina Yusuf ↔ Oscar Lindberg,Andres Gomez ↔ Jin Park ↔ Nia Williams",
Anna Müller,anna.muller@email.com,anna.muller,,,,Cornell University,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Anna Müller ↔ Ava Williams,Anna Müller ↔ Aya Nakamura,Anna Müller ↔ Dariusz Kowalski,Anna Müller ↔ Diego Torres,Anna Müller ↔ Emily Brown,Anna Müller ↔ Ethan Johnson,Anna Müller ↔ Fatima Al-Farsi,Anna Müller ↔ Hana Kimura,Anna Müller ↔ Helena Costa,Anna Müller ↔ Ivan Horvat,Anna Müller ↔ Kevin Nguyen,Anna Müller ↔ Leah Stein,Anna Müller ↔ Liam O'Connor,Anna Müller ↔ Lina Svensson,Anna Müller ↔ Linh Tran,Anna Müller ↔ Lucas Meyer,Anna Müller ↔ Maria Rodriguez,Anna Müller ↔ Mateusz Zielinski,Anna Müller ↔ Mei Chen,Anna Müller ↔ Nadia Benali,Anna Müller ↔ Olivia Wilson,Anna Müller ↔ Pedro Alvarez,Anna Müller ↔ Samantha Evans,Anna Müller ↔ Samuel Mensah,Anna Müller ↔ Santiago Lopez,Anna Müller ↔ Sibel Yilmaz,Anna Müller ↔ Sofia Garcia,Anna Müller ↔ Sofia Petrova,Anna Müller ↔ Tariq Aziz,Anna Müller ↔ Tomasz Nowak,Anna Müller ↔ Victoria Smith,Anna Müller ↔ Wei Zhang,Anna Müller ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Anna Müller,Ahmed El-Sayed ↔ Anna Müller,Ahmed Hassan ↔ Anna Müller,Alexei Ivanov ↔ Anna Müller",,,,"Ahmed Hassan ↔ Anna Müller,Anna Müller ↔ Victoria Smith,Anna Müller ↔ Sofia Petrova,Anna Müller ↔ Pedro Alvarez,Ahmed El-Sayed ↔ Anna Müller,Anna Müller ↔ Dariusz Kowalski,Anna Müller ↔ Mateusz Zielinski","Anna Müller ↔ Jacob Green ↔ Pedro Alvarez,Anna Müller ↔ Dariusz Kowalski ↔ Mateo Silva,Anna Müller ↔ Lina Svensson ↔ Omar Farouk",
Anna Schmidt,anna.schmidt@email.com,anna.schmidt,,,,California Institute of Technology (Caltech),Psychology,"Case studies, group analysis",Clinical psychologist,Cognitive therapy,5 miles,Hybrid,"University,Career Trajectories,Meet-up Distance",1,70,14,1,70,14,2,90,18,3,100,20,1,70,14,2,90,18,2,90,18,Auditory,,490,,,,,,,,
Anna Wolf,anna.wolf@email.com,anna.wolf,,,,"University of California, Berkeley",Economics,"Prefers solo study, podcasts",Financial analyst,Struggles with econometrics,8 miles,Online,"Degree,Career Trajectories,Meet-up Distance",3,100,19,1,70,13,2,90,17,2,90,17,3,100,19,2,90,17,2,90,17,2,,540,,,,,,,,
Arjun Desai,arjun.desai@email.com,arjun.desai,Notes not provided,,,Carnegie Mellon University,Biology,"Group study, flashcards",Research scientist,Genetics,8 miles,In Person,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode,Other",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,"Arjun Desai ↔ Benjamin Cohen,Arjun Desai ↔ Gabriel Souza,Arjun Desai ↔ Jamal Carter,Arjun Desai ↔ Jin Park,Arjun Desai ↔ Juan Martinez,Arjun Desai ↔ Julia Nowak,Arjun Desai ↔ Marta Kowalczyk,Arjun Desai ↔ Mohamed Abdallah,Arjun Desai ↔ Mohammed Hassan,Arjun Desai ↔ Nia Williams,Arjun Desai ↔ Nour El-Din,Arjun Desai ↔ Oscar Lindberg,Arjun Desai ↔ Sienna Murphy,Arjun Desai ↔ Yusuf Ali","Amina Yusuf ↔ Arjun Desai,Andres Gomez ↔ Arjun Desai",,None,None,"Arjun Desai ↔ Julia Nowak,Arjun Desai ↔ Mohammed Hassan","Arjun Desai ↔ Amina Yusuf ↔ Julia Nowak,Arjun Desai ↔ Amina Yusuf ↔ Oscar Lindberg,Arjun Desai ↔ Jin Park ↔ Nia Williams",
Ava Garcia,ava.garcia@email.com,ava.garcia,,,,Stanford University,Biology,"Lab work, peer review",Geneticist,Cell biology,9 miles,Online,"Learning Habits,Struggling Concepts,Career Trajectories",1,70,14,2,90,18,3,100,20,2,90,18,2,90,18,1,70,14,1,70,14,Kinesthetic,,510,,,,,,,,
Ava Müller,ava.muller@email.com,ava.muller,,,,University of Miami,Medicine,"Lab work, peer review",Surgeon,,7 miles,Online,"Degree,Learning Habits,Struggling Concepts,Meet-up Mode",0,0,0,3,100,22,2,90,20,3,100,22,1,70,16,2,90,20,2,90,20,,,450,,,,,,,,
Ava Thompson,ava.thompson@email.com,ava.thompson,,,,"University of California, Los Angeles",Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Ava Thompson ↔ Chinonso Okafor,Ava Thompson ↔ Elena Popova,Ava Thompson ↔ Grace Lee,Ava Thompson ↔ Hiroshi Sato,Ava Thompson ↔ Laila Rahman,Ava Thompson ↔ Lucas Evans,Ava Thompson ↔ Maya Sharma,Ava Thompson ↔ Mikhail Orlov,Ava Thompson ↔ Noah Weber,Ava Thompson ↔ Rashid Khan,Ava Thompson ↔ Sana Qureshi,Ava Thompson ↔ Svetlana Ivanova,Ava Thompson ↔ Zara Ali",Ananya Singh ↔ Ava Thompson,,,,"Ava Thompson ↔ Fatoumata Diallo,Aisha Abdi ↔ Ava Thompson,Ava Thompson ↔ Mariam Habib,Ava Thompson ↔ Rashid Khan,Ava Thompson ↔ Chinonso Okafor,Ava Thompson ↔ Ivan Petrov","Ava Thompson ↔ Aisha Bello ↔ Viktor Novak,Ava Thompson ↔ Aisha Abdi ↔ Sophie Dubois,Ava Thompson ↔ Emily Clark ↔ Mustafa Demir",
